ID	Sentence	AG	US	GRP	OTHER	OPP	SELF	WMN
41	CLINTON : Let 's be sure we have affordable child care and debt-free college .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
42	CLINTON : How are we going to do it ?	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
43	CLINTON : We 're going to do it by having the wealthy pay their fair share and close the corporate loopholes .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
44	CLINTON : Finally , we tonight are on the stage together , Donald Trump and I .	NONE	NONE	NONE	NONE	OPP-neutral	SELF-neutral	NONE
45	CLINTON : Donald , it 's good to be with you .	NONE	NONE	NONE	NONE	OPP-positive	NONE	NONE
46	CLINTON : We 're going to have a debate where we are talking about the important issues facing our country .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
47	CLINTON : You have to judge us , who can shoulder the immense , awesome responsibilities of the presidency , who can put into action the plans that will make your life better .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
48	CLINTON : I hope that I will be able to earn your vote on November 8th .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
49	HOLT : Secretary Clinton , thank you .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
50	HOLT : Mr. Trump , the same question to you .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
51	HOLT : It 's about putting money - more money into the pockets of American workers .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
52	HOLT : You have up to two minutes .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
53	TRUMP : Thank you , Lester .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
54	TRUMP : Our jobs are fleeing the country .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
55	TRUMP : They 're going to Mexico .	NONE	NONE	GRP-neutral	NONE	NONE	NONE	NONE
56	TRUMP : They 're going to many other countries .	NONE	NONE	GRP-neutral	NONE	NONE	NONE	NONE
57	TRUMP : You look at what China is doing to our country in terms of making our product .	NONE	US-negative	GRP-negative	NONE	NONE	NONE	NONE
58	TRUMP : They 're devaluing their currency , and there 's nobody in our government to fight them .	NONE	US-negative	GRP-negative	NONE	NONE	NONE	NONE
59	TRUMP : And we have a very good fight .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
60	TRUMP : And we have a winning fight .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
61	TRUMP : Because they 're using our country as a piggy bank to rebuild China , and many other countries are doing the same thing .	NONE	US-negative	GRP-negative	NONE	NONE	NONE	NONE
62	TRUMP : So we 're losing our good jobs , so many of them .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
63	TRUMP : When you look at what 's happening in Mexico , a friend of mine who builds plants said it 's the eighth wonder of the world .	NONE	NONE	GRP-positive	NONE	NONE	NONE	NONE
64	TRUMP : They 're building some of the biggest plants anywhere in the world , some of the most sophisticated , some of the best plants .	NONE	NONE	GRP-positive	NONE	NONE	NONE	NONE
65	TRUMP : With the United States , as he said , not so much .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
66	TRUMP : So Ford is leaving .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
67	TRUMP : You see that , their small car division leaving .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
68	TRUMP : Thousands of jobs leaving Michigan , leaving Ohio .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
69	TRUMP : They 're all leaving .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
70	TRUMP : And we ca n't allow it to happen anymore .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
71	TRUMP : As far as child care is concerned and so many other things , I think Hillary and I agree on that .	AG-positive	US-neutral	NONE	NONE	OPP-positive	NONE	NONE
72	TRUMP : We probably disagree a little bit as to numbers and amounts and what we 're going to do , but perhaps we 'll be talking about that later .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
73	TRUMP : But we have to stop our jobs from being stolen from us .	AG-neutral	US-negative	NONE	NONE	NONE	NONE	NONE
74	TRUMP : We have to stop our companies from leaving the United States and , with it , firing all of their people .	AG-neutral	US-negative	NONE	NONE	NONE	NONE	NONE
75	TRUMP : All you have to do is take a look at Carrier air conditioning in Indianapolis .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
76	TRUMP : They leftfired 1,4 people .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
77	TRUMP : They 're going to Mexico .	NONE	NONE	GRP-neutral	NONE	NONE	NONE	NONE
78	TRUMP : So many hundreds and hundreds of companies are doing this .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
79	TRUMP : We cannot let it happen .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
80	TRUMP : Under my plan , I 'll be reducing taxes tremendously , from 35 percent to 15 percent for companies , small and big businesses .	AG-positive	US-neutral	NONE	NONE	NONE	NONE	NONE
81	TRUMP : That 's going to be a job creator like we have n't seen since Ronald Reagan .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
82	TRUMP : It 's going to be a beautiful thing to watch .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
83	TRUMP : Companies will come .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
84	TRUMP : They will build .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
85	TRUMP : They will expand .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
86	TRUMP : New companies will start .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
87	TRUMP : And I look very , very much forward to doing it .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
88	TRUMP : We have to renegotiate our trade deals , and we have to stop these countries from stealing our companies and our jobs .	AG-positive	US-neutral	GRP-negative	NONE	NONE	NONE	NONE
89	HOLT : Secretary Clinton , would you like to respond ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
90	CLINTON : Well , I think that trade is an important issue .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
91	CLINTON : Of course , we are 5 percent of the world 's population ; we have to trade with the other 95 percent .	NONE	US-neutral	GRP-neutral	NONE	NONE	NONE	NONE
92	CLINTON : And we need to have smart , fair trade deals .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
93	CLINTON : We also , though , need to have a tax system that rewards work and not just financial transactions .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
94	CLINTON : And the kind of plan that Donald has put forth would be trickle-down economics all over again .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
95	CLINTON : In fact , it would be the most extreme version , the biggest tax cuts for the top percent of the people in this country than we 've ever had .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
96	CLINTON : I call it trumped-up trickle-down , because that 's exactly what it would be .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
97	CLINTON : That is not how we grow the economy .	NONE	US-neutral	NONE	OTHER-negative	NONE	NONE	NONE
98	CLINTON : We just have a different view about what 's best for growing the economy , how we make investments that will actually produce jobs and rising incomes .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
99	CLINTON : I think we come at it from somewhat different perspectives .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
100	CLINTON : I understand that .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
101	CLINTON : You know , Donald was very fortunate in his life , and that 's all to his benefit .	NONE	NONE	NONE	NONE	OPP-positive	NONE	NONE
102	CLINTON : He started his business with $ 14 million , borrowed from his father , and he really believes that the more you help wealthy people , the better off we 'll be and that everything will work out from there .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
103	CLINTON : I do n't buy that .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
104	CLINTON : I have a different experience .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
105	CLINTON : My father was a small-businessman .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
106	CLINTON : He worked really hard .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
107	CLINTON : He printed drapery fabrics on long tables , where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
108	CLINTON : And so what I believe is the more we can do for the middle class , the more we can invest in you , your education , your skills , your future , the better we will be off and the better we 'll grow .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
109	CLINTON : That 's the kind of economy I want us to see again .	AG-neutral	US-neutral	NONE	NONE	NONE	SELF-neutral	NONE
110	HOLT : Let me follow up with Mr. Trump , if you can .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
111	HOLT : You 've talked about creating 25 million jobs , and you 've promised to bring back millions of jobs for Americans .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
112	HOLT : How are you going to bring back the industries that have left this country for cheaper labor overseas ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
113	HOLT : How , specifically , are you going to tell American manufacturers that you have to come back ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
114	TRUMP : Well , for one thing - and before we start on that - my father gave me a very small loan in 1975 , and I built it into a company that 's worth many , many billions of dollars , with some of the greatest assets in the world , and I say that only because that 's the kind of thinking that our country needs .	NONE	US-neutral	NONE	NONE	NONE	SELF-positive	NONE
115	TRUMP : Our country 's in deep trouble .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
116	TRUMP : We do n't know what we 're doing when it comes to devaluations and all of these countries all over the world , especially China .	NONE	US-negative	GRP-negative	NONE	NONE	NONE	NONE
117	TRUMP : They 're the best , the best ever at it .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
118	TRUMP : What they 're doing to us is a very , very sad thing .	NONE	US-neutral	NONE	OTHER-negative	NONE	NONE	NONE
119	TRUMP : So we have to do that .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
120	TRUMP : We have to renegotiate our trade deals .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
121	TRUMP : And , Lester , they 're taking our jobs , they 're giving incentives , they 're doing things that , frankly , we do n't do .	NONE	US-negative	NONE	OTHER-negative	NONE	NONE	NONE
122	TRUMP : Let me give you the example of Mexico .	NONE	NONE	GRP-neutral	NONE	NONE	NONE	NONE
123	TRUMP : They have a VAT tax .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
124	TRUMP : We 're on a different system .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
125	TRUMP : When we sell into Mexico , there 's a tax .	NONE	US-neutral	GRP-neutral	NONE	NONE	NONE	NONE
126	TRUMP : When they sell in - automatic , 16 percent , approximately .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
127	TRUMP : When they sell into us , there 's no tax .	NONE	US-neutral	NONE	OTHER-neutral	NONE	NONE	NONE
128	TRUMP : It 's a defective agreement .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
129	TRUMP : It 's been defective for a long time , many years , but the politicians have n't done anything about it .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
130	TRUMP : Now , in all fairness to Secretary Clinton - yes , is that OK ? Good .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
131	TRUMP : I want you to be very happy .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
132	TRUMP : It 's very important to me .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
133	TRUMP : But in all fairness to Secretary Clinton , when she started talking about this , it was really very recently .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
134	TRUMP : She 's been doing this for 30 years .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
135	TRUMP : And why has n't she made the agreements better ?	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
136	TRUMP : The NAFTA agreement is defective .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
137	TRUMP : Just because of the tax and many other reasons , but just because of the fact ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
138	HOLT : Let me interrupt just a moment , but ...	NONE	NONE	NONE	NONE	NONE	NONE	NONE
139	TRUMP : Secretary Clinton and others , politicians , should have been doing this for years , not right now , because of the fact that we 've created a movement .	NONE	US-negative	NONE	NONE	OPP-negative	SELF-positive	NONE
140	TRUMP : They should have been doing this for years .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
141	TRUMP : What 's happened to our jobs and our country and our economy generally is - look , we owe $ 20 trillion .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
142	TRUMP : We cannot do it any longer , Lester .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
143	HOLT : Back to the question , though .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
144	HOLT : How do you bring back - specifically bring back jobs , American manufacturers ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
145	HOLT : How do you make them bring the jobs back ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
146	TRUMP : Well , the first thing you do is do n't let the jobs leave .	AG-neutral	US-negative	NONE	NONE	NONE	NONE	NONE
147	TRUMP : The companies are leaving .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
148	TRUMP : I could name , I mean , there are thousands of them .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
149	TRUMP : They 're leaving , and they 're leaving in bigger numbers than ever .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
150	TRUMP : And what you do is you say , fine , you want to go to Mexico or some other country , good luck .	NONE	NONE	GRP-neutral	NONE	NONE	NONE	NONE
151	TRUMP : We wish you a lot of luck .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
152	TRUMP : But if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong .	NONE	US-neutral	NONE	OTHER-neutral	NONE	NONE	NONE
153	TRUMP : And once you say you 're going to have to tax them coming in , and our politicians never do this , because they have special interests and the special interests want those companies to leave , because in many cases , they own the companies .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
154	TRUMP : So what I 'm saying is , we can stop them from leaving .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
155	TRUMP : We have to stop them from leaving .	AG-neutral	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
156	TRUMP : And that 's a big , big factor .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
157	HOLT : Let me let Secretary Clinton get in here .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
158	CLINTON : Well , let 's stop for a second and remember where we were eight years ago .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
159	CLINTON : We had the worst financial crisis , the Great Recession , the worst since the 1930s .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
160	CLINTON : That was in large part because of tax policies that slashed taxes on the wealthy , failed to invest in the middle class , took their eyes off of Wall Street , and created a perfect storm .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
161	CLINTON : In fact , Donald was one of the people who rooted for the housing crisis .	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
162	CLINTON : He said , back in 2006 , " Gee , I hope it does collapse , because then I can go in and buy some and make some money . "	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
163	CLINTON : Well , it did collapse .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
164	TRUMP : That 's called business , by the way .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
165	CLINTON : Nine million people - nine million people lost their jobs .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
166	CLINTON : Five million people lost their homes .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
167	CLINTON : And $ 13 trillion in family wealth was wiped out .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
168	CLINTON : Now , we have come back from that abyss .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
169	CLINTON : And it has not been easy .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
170	CLINTON : So we 're now on the precipice of having a potentially much better economy , but the last thing we need to do is to go back to the policies that failed us in the first place .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
171	CLINTON : Independent experts have looked at what I 've proposed and looked at what Donald 's proposed , and basically they 've said this , that if his tax plan , which would blow up the debt by over $ 5 trillion and would in some instances disadvantage middle-class families compared to the wealthy , were to go into effect , we would lose 3.5 million jobs and maybe have another recession .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
172	CLINTON : They 've looked at my plans and they 've said , OK , if we can do this , and I intend to get it done , we will have 10 million more new jobs , because we will be making investments where we can grow the economy .	AG-positive	US-positive	NONE	NONE	NONE	SELF-positive	NONE
173	CLINTON : Take clean energy .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
174	CLINTON : Some country is going to be the clean-energy superpower of the 21st century .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
175	CLINTON : Donald thinks that climate change is a hoax perpetrated by the Chinese .	NONE	NONE	GRP-neutral	NONE	OPP-negative	NONE	NONE
176	CLINTON : I think it 's real .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
177	TRUMP : I did not .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
178	TRUMP : I did not .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
179	TRUMP : I do not say that .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
180	CLINTON : I think science is real .	NONE	NONE	NONE	NONE	NONE	SELF-positive	NONE
181	TRUMP : I do not say that .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
182	CLINTON : And I think it 's important that we grip this and deal with it , both at home and abroad .	AG-neutral	US-neutral	GRP-neutral	NONE	NONE	NONE	NONE
183	CLINTON : And here 's what we can do .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
184	CLINTON : We can deploy a half a billion more solar panels .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
185	CLINTON : We can have enough clean energy to power every home .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
186	CLINTON : We can build a new modern electric grid .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
187	CLINTON : That 's a lot of jobs ; that 's a lot of new economic activity .	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
188	CLINTON : So I 've tried to be very specific about what we can and should do , and I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place .	AG-neutral	US-positive	NONE	NONE	NONE	SELF-positive	NONE
189	HOLT : Mr. Trump ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
190	TRUMP : She talks about solar panels .	NONE	NONE	NONE	OTHER-neutral	OPP-neutral	NONE	NONE
191	TRUMP : We invested in a solar company , our country .	NONE	US-neutral	NONE	OTHER-neutral	NONE	NONE	NONE
192	TRUMP : That was a disaster .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
193	TRUMP : They lost plenty of money on that one .	NONE	NONE	NONE	OTHER-negative	NONE	NONE	NONE
194	TRUMP : Now , look , I 'm a great believer in all forms of energy , but we 're putting a lot of people out of work .	NONE	US-negative	NONE	OTHER-neutral	NONE	SELF-positive	NONE
195	TRUMP : Our energy policies are a disaster .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
196	TRUMP : Our country is losing so much in terms of energy , in terms of paying off our debt .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
197	TRUMP : You ca n't do what you 're looking to do with $ 20 trillion in debt .	NONE	US-negative	NONE	NONE	OPP-negative	NONE	NONE
198	TRUMP : The Obama administration , from the time they 've come in , is over 230 years ' worth of debt , and he 's topped it .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
199	TRUMP : He 's doubled it in a course of almost eight years , seven-and-a-half years , to be semi-exact .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
200	TRUMP : So I will tell you this .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
201	TRUMP : We have to do a much better job at keeping our jobs .	AG-positive	US-neutral	NONE	NONE	NONE	NONE	NONE
202	TRUMP : And we have to do a much better job at giving companies incentives to build new companies or to expand , because they 're not doing it .	AG-neutral	US-negative	NONE	NONE	NONE	NONE	NONE
203	TRUMP : And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving , they 're gone .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
204	TRUMP : And , Hillary , I 'd just ask you this .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
205	TRUMP : You 've been doing this for 30 years .	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
206	TRUMP : Why are you just thinking about these solutions right now ?	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
207	TRUMP : For 30 years , you 've been doing it , now you 're just starting to think of solutions .	NONE	NONE	NONE	NONE	OPP-negative	NONE	NONE
208	CLINTON : Well , actually ...	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
209	TRUMP : I will bring - excuse me .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
210	TRUMP : I will bring back jobs .	AG-positive	US-positive	NONE	NONE	NONE	SELF-positive	NONE
211	TRUMP : You ca n't bring back jobs .	NONE	US-neutral	NONE	NONE	OPP-negative	NONE	NONE
212	CLINTON : Well , actually , I have thought about this quite a bit .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
213	TRUMP : Yeah , for 30 years .	NONE	NONE	NONE	OTHER-neutral	NONE	NONE	NONE
214	CLINTON : And I have well , not quite that long .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
215	CLINTON : I think my husband did a pretty good job in the 1990s .	NONE	NONE	NONE	NONE	NONE	SELF-positive	NONE
216	CLINTON : I think a lot about what worked and how we can make it work again ...	AG-neutral	US-positive	NONE	NONE	NONE	SELF-neutral	NONE
217	TRUMP : Well , he approved NAFTA ...	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
218	CLINTON : ... million new jobs , a balanced budget ...	NONE	NONE	NONE	OTHER-positive	NONE	NONE	NONE
219	TRUMP : He approved NAFTA , which is the single worst trade deal ever approved in this country .	NONE	US-negative	NONE	NONE	NONE	NONE	NONE
220	CLINTON : Incomes went up for everybody .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
221	CLINTON : Manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
222	CLINTON : When I was in the Senate , I had a number of trade deals that came before me , and I held them all to the same test .	NONE	US-neutral	NONE	NONE	NONE	SELF-positive	NONE
223	CLINTON : Will they create jobs in America ?	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
